Ambient Temperature,Ambient Relative Humidity,Ambient Pressure,Exhaust Vacuum,Total Power,Fuel_Consumption_MMBtu
30.359,42.329605,799.20526,5.250434000000001,705.475,5996.5375
30.069,43.101185,799.3608,5.250434000000001,707.9590000000001,6017.651500000001
30.475,44.99887,799.446,5.250434000000001,694.989,5907.4065
30.677,45.41319,799.8158,5.250434000000001,708.428,6021.638
30.503,44.545277,799.54126,5.250434000000001,711.515,6047.8775
29.375,46.0346,799.7458,5.250434000000001,713.114,6061.469
29.23,48.19594,799.7321,5.250434000000001,693.234,5892.489
28.854,48.53139,799.69543,5.250434000000001,703.7090000000001,5981.526500000001
27.87,50.559937,799.7516,5.250434000000001,695.2760000000001,5909.846000000001
26.713,52.825848,799.68427,5.250434000000001,683.415,5809.0275
26.019,55.50235,799.7514,5.250434000000001,708.757,6024.4345
25.671,57.71733,799.682,5.250434000000001,686.591,5836.0235
25.556,59.227707,799.88257,5.250434000000001,695.413,5911.0105
24.601,59.67269,799.71655,5.250434000000001,701.94,5966.49
23.993,61.679485,799.6895,5.250434000000001,702.135,5968.1475
23.299,63.426785,799.7091,5.250434000000001,696.213,5917.8105
22.836,64.92577,799.7077,5.250434000000001,695.691,5913.3735
22.402,66.47294,799.72565,5.250434000000001,676.687,5751.8395
22.286,67.65968,799.61597,4.5003720000000005,659.703,5607.4755
22.373,68.393166,799.606,5.250434000000001,710.159,6036.3515
22.546,68.672806,799.77545,5.250434000000001,712.75,6058.375
22.778,69.02921,799.82605,5.250434000000001,720.026,6120.221
22.286,68.71681,799.5663,5.250434000000001,708.821,6024.9785
21.852,68.74646,799.6746,5.250434000000001,696.204,5917.734
21.707,69.41839,799.6092,4.5003720000000005,625.895,5320.1075
21.823,70.00446,799.6706,4.5003720000000005,523.972,4453.762
21.563,70.38978,799.5225,3.0002480000000005,313.194,2662.149
21.244,71.53711,798.88855,3.0002480000000005,247.498,2103.733
21.128,72.80376,798.95233,3.0002480000000005,255.468,2171.478
